Benchmark,Critical Cycles,Parallel Cycles,Heuristic Cycles,overlap cycles,Max CNOTS
plus63mod8192_164.qasm,467215,467215,467215,467215,3
cc_n13.qasm,70,70,70,70,1
4gt11_83.qasm,75,75,75,75,1
quantum_volume_n5_d4.qasm,,,,,
sat_n6_vars=2_clauses=3_clauselen=2_52463030d15e7244c9f75bf819d40e3d.qasm,,,,,
4gt13_92.qasm,175,175,175,175,2
bv_n500.qasm,2515,2515,2515,2515,1
quantum_volume_n34_d8.qasm,152,365,324,345,17
alu-v1_29.qasm,100,100,100,100,2
hwb5_53.qasm,3345,3345,3345,3345,2
0410184_169.qasm,465,465,465,468,6
cnt3-5_180.qasm,920,920,920,920,3
radd_250.qasm,7830,7830,7830,7830,3
clip_206.qasm,79010,79010,79010,79013,6
hwb4_49.qasm,600,600,600,600,2
decod24-bdd_294.qasm,175,175,175,175,2
con1_216.qasm,2235,2235,2235,2235,2
qft_n19.qasm,370,550,500,489,9
sym9_193.qasm,,,,,
alu-v2_33.qasm,100,100,100,100,2
4mod5-v0_20.qasm,50,50,50,50,2
f2_232.qasm,2975,2975,2975,2975,3
qft_n13.qasm,250,300,280,285,6
4gt12-v0_87.qasm,585,585,585,585,2
cc_n19.qasm,100,100,100,100,1
qft_n500.qasm,9990,145050,103873,104287,250
bv_n300.qasm,1516,1516,1516,1516,1
qelib1.inc.txt,,,,,
rd84_253.qasm,32015,32015,32015,32015,3
qft_n200.qasm,3990,28510,21514,22210,100
graycode6_47.qasm,25,25,25,25,1
qft_n11.qasm,210,260,230,231,5
alu-v2_32.qasm,410,410,410,410,2
4gt11_84.qasm,,,,,
ising_model_10.qasm,210,210,210,210,5
cc_n250.qasm,1255,1255,1255,1255,1
sym6_316.qasm,640,640,640,,2
one-two-three-v2_100.qasm,180,180,180,180,2
max46_240.qasm,62840,62840,62840,62840,4
one-two-three-v0_97.qasm,720,720,720,720,2
alu-v2_31.qasm,1150,1150,1150,1150,2
urf2_152.qasm,186200,186200,186200,,3
cycle10_2_110.qasm,15000,15000,15000,15000,4
one-two-three-v1_99.qasm,350,350,350,350,2
4gt13_90.qasm,290,290,290,290,2
decod24-v0_38.qasm,130,130,130,130,1
sf_276.qasm,1925,1925,1925,1925,2
quantum_volume_n35_d8.qasm,152,347,349,310,17
aj-e11_165.qasm,395,395,395,395,2
